"","Year","Branch","Average","lag","value","all_pres"
"1",1963,"House of Representatives",1.3,"0","Democrat","Kennedy"
"2",1963,"House of Representatives",1.3,"1","Democrat","Kennedy"
"3",1963,"House of Representatives",1.3,"2","Democrat","Kennedy"
"4",1963,"House of Representatives",1.3,"3","Democrat","Kennedy"
"5",1963,"House of Representatives",1.3,"4","Democrat","Kennedy"
"6",1963,"House of Representatives",1.3,"5","Democrat","Kennedy"
"7",1963,"House of Representatives",1.3,"6","Democrat","Kennedy"
"8",1963,"House of Representatives",1.3,"7","Democrat","Kennedy"
"9",1963,"House of Representatives",1.3,"8","Democrat","Kennedy"
"10",1963,"House of Representatives",1.3,"9","Republican","Kennedy"
"11",1963,"House of Representatives",1.3,"10","Republican","Kennedy"
"12",1963,"Senate",1.3,"0","Democrat","Kennedy"
"13",1963,"Senate",1.3,"1","Democrat","Kennedy"
"14",1963,"Senate",1.3,"2","Democrat","Kennedy"
"15",1963,"Senate",1.3,"3","Democrat","Kennedy"
"16",1963,"Senate",1.3,"4","Democrat","Kennedy"
"17",1963,"Senate",1.3,"5","Democrat","Kennedy"
"18",1963,"Senate",1.3,"6","Democrat","Kennedy"
"19",1963,"Senate",1.3,"7","Democrat","Kennedy"
"20",1963,"Senate",1.3,"8","Democrat","Kennedy"
"21",1963,"Senate",1.3,"9","Republican","Kennedy"
"22",1963,"Senate",1.3,"10","Republican","Kennedy"
"23",1963,"Congress (Both Chambers)",1.3,"0","Democrat","Kennedy"
"24",1963,"Congress (Both Chambers)",1.3,"1","Democrat","Kennedy"
"25",1963,"Congress (Both Chambers)",1.3,"2","Democrat","Kennedy"
"26",1963,"Congress (Both Chambers)",1.3,"3","Democrat","Kennedy"
"27",1963,"Congress (Both Chambers)",1.3,"4","Democrat","Kennedy"
"28",1963,"Congress (Both Chambers)",1.3,"5","Democrat","Kennedy"
"29",1963,"Congress (Both Chambers)",1.3,"6","Democrat","Kennedy"
"30",1963,"Congress (Both Chambers)",1.3,"7","Democrat","Kennedy"
"31",1963,"Congress (Both Chambers)",1.3,"8","Democrat","Kennedy"
"32",1963,"Congress (Both Chambers)",1.3,"9","Republican","Kennedy"
"33",1963,"Congress (Both Chambers)",1.3,"10","Republican","Kennedy"
"34",1963,"Presidency",1.3,"0","Democrat","Kennedy"
"35",1963,"Presidency",1.3,"1","Democrat","Kennedy"
"36",1963,"Presidency",1.3,"2","Democrat","Kennedy"
"37",1963,"Presidency",1.3,"3","Republican","Kennedy"
"38",1963,"Presidency",1.3,"4","Republican","Kennedy"
"39",1963,"Presidency",1.3,"5","Republican","Kennedy"
"40",1963,"Presidency",1.3,"6","Republican","Kennedy"
"41",1963,"Presidency",1.3,"7","Republican","Kennedy"
"42",1963,"Presidency",1.3,"8","Republican","Kennedy"
"43",1963,"Presidency",1.3,"9","Republican","Kennedy"
"44",1963,"Presidency",1.3,"10","Republican","Kennedy"
"45",1964,"House of Representatives",1.3,"0","Democrat","L. Johnson"
"46",1964,"House of Representatives",1.3,"1","Democrat","L. Johnson"
"47",1964,"House of Representatives",1.3,"2","Democrat","L. Johnson"
"48",1964,"House of Representatives",1.3,"3","Democrat","L. Johnson"
"49",1964,"House of Representatives",1.3,"4","Democrat","L. Johnson"
"50",1964,"House of Representatives",1.3,"5","Democrat","L. Johnson"
"51",1964,"House of Representatives",1.3,"6","Democrat","L. Johnson"
"52",1964,"House of Representatives",1.3,"7","Democrat","L. Johnson"
"53",1964,"House of Representatives",1.3,"8","Democrat","L. Johnson"
"54",1964,"House of Representatives",1.3,"9","Democrat","L. Johnson"
"55",1964,"House of Representatives",1.3,"10","Republican","L. Johnson"
"56",1964,"Senate",1.3,"0","Democrat","L. Johnson"
"57",1964,"Senate",1.3,"1","Democrat","L. Johnson"
"58",1964,"Senate",1.3,"2","Democrat","L. Johnson"
"59",1964,"Senate",1.3,"3","Democrat","L. Johnson"
"60",1964,"Senate",1.3,"4","Democrat","L. Johnson"
"61",1964,"Senate",1.3,"5","Democrat","L. Johnson"
"62",1964,"Senate",1.3,"6","Democrat","L. Johnson"
"63",1964,"Senate",1.3,"7","Democrat","L. Johnson"
"64",1964,"Senate",1.3,"8","Democrat","L. Johnson"
"65",1964,"Senate",1.3,"9","Democrat","L. Johnson"
"66",1964,"Senate",1.3,"10","Republican","L. Johnson"
"67",1964,"Congress (Both Chambers)",1.3,"0","Democrat","L. Johnson"
"68",1964,"Congress (Both Chambers)",1.3,"1","Democrat","L. Johnson"
"69",1964,"Congress (Both Chambers)",1.3,"2","Democrat","L. Johnson"
"70",1964,"Congress (Both Chambers)",1.3,"3","Democrat","L. Johnson"
"71",1964,"Congress (Both Chambers)",1.3,"4","Democrat","L. Johnson"
"72",1964,"Congress (Both Chambers)",1.3,"5","Democrat","L. Johnson"
"73",1964,"Congress (Both Chambers)",1.3,"6","Democrat","L. Johnson"
"74",1964,"Congress (Both Chambers)",1.3,"7","Democrat","L. Johnson"
"75",1964,"Congress (Both Chambers)",1.3,"8","Democrat","L. Johnson"
"76",1964,"Congress (Both Chambers)",1.3,"9","Democrat","L. Johnson"
"77",1964,"Congress (Both Chambers)",1.3,"10","Republican","L. Johnson"
"78",1964,"Presidency",1.3,"0","Democrat","L. Johnson"
"79",1964,"Presidency",1.3,"1","Democrat","L. Johnson"
"80",1964,"Presidency",1.3,"2","Democrat","L. Johnson"
"81",1964,"Presidency",1.3,"3","Democrat","L. Johnson"
"82",1964,"Presidency",1.3,"4","Republican","L. Johnson"
"83",1964,"Presidency",1.3,"5","Republican","L. Johnson"
"84",1964,"Presidency",1.3,"6","Republican","L. Johnson"
"85",1964,"Presidency",1.3,"7","Republican","L. Johnson"
"86",1964,"Presidency",1.3,"8","Republican","L. Johnson"
"87",1964,"Presidency",1.3,"9","Republican","L. Johnson"
"88",1964,"Presidency",1.3,"10","Republican","L. Johnson"
"89",1965,"House of Representatives",1.6,"0","Democrat","L. Johnson"
"90",1965,"House of Representatives",1.6,"1","Democrat","L. Johnson"
"91",1965,"House of Representatives",1.6,"2","Democrat","L. Johnson"
"92",1965,"House of Representatives",1.6,"3","Democrat","L. Johnson"
"93",1965,"House of Representatives",1.6,"4","Democrat","L. Johnson"
"94",1965,"House of Representatives",1.6,"5","Democrat","L. Johnson"
"95",1965,"House of Representatives",1.6,"6","Democrat","L. Johnson"
"96",1965,"House of Representatives",1.6,"7","Democrat","L. Johnson"
"97",1965,"House of Representatives",1.6,"8","Democrat","L. Johnson"
"98",1965,"House of Representatives",1.6,"9","Democrat","L. Johnson"
"99",1965,"House of Representatives",1.6,"10","Democrat","L. Johnson"
"100",1965,"Senate",1.6,"0","Democrat","L. Johnson"
"101",1965,"Senate",1.6,"1","Democrat","L. Johnson"
"102",1965,"Senate",1.6,"2","Democrat","L. Johnson"
"103",1965,"Senate",1.6,"3","Democrat","L. Johnson"
"104",1965,"Senate",1.6,"4","Democrat","L. Johnson"
"105",1965,"Senate",1.6,"5","Democrat","L. Johnson"
"106",1965,"Senate",1.6,"6","Democrat","L. Johnson"
"107",1965,"Senate",1.6,"7","Democrat","L. Johnson"
"108",1965,"Senate",1.6,"8","Democrat","L. Johnson"
"109",1965,"Senate",1.6,"9","Democrat","L. Johnson"
"110",1965,"Senate",1.6,"10","Democrat","L. Johnson"
"111",1965,"Congress (Both Chambers)",1.6,"0","Democrat","L. Johnson"
"112",1965,"Congress (Both Chambers)",1.6,"1","Democrat","L. Johnson"
